,price_date,beta,book_to_price_ratio,earning_yield,growth,leverage,liquidity,momentum,non_linear_size,residual_volatility,size
39,2016-03-07,-0.0041955866,-0.0001534611,-0.0008701967,0.0003740176,-0.0006863646,0.000233417,-0.0029742037,0.0011476114,-0.0002022352,-0.0044056747
40,2016-03-08,-0.0031204393,-0.001208161,0.0005358181,0.0011513789,-0.0003097859,-0.0005339942,-0.0014033878,-0.0009441233,0.0005373828,-0.0046680812
41,2016-03-09,0.0049103939,-0.0019182308,0.0010577466,-0.0002050966,-0.0005518435,-0.0003290433,0.003111599,-0.0015486136,0.0007437927,-0.0017699087
42,2016-03-10,0.0018225778,-0.0008932745,0.0014311999,-0.0007819874,0.0012865181,0.0005567207,0.001483611,-0.0002074468,0.0007890701,-0.000430843
43,2016-03-11,0.0042277782,-0.0006027776,0.0025069287,-0.0014431903,0.0062907769,-0.0002355497,0.0008721791,-0.0008244781,0.0029693561,-0.003349469
44,2016-03-14,-0.0053440273,-0.002325633,0.0013070755,0.0010671218,0.0079045163,-0.000321541,-0.0011043948,0.0018058393,0.0018948338,-0.0029650748
45,2016-03-15,0.005931781,-0.0009093422,0.0002815646,0.0007252111,-0.0143630137,-9.08053e-05,0.0008186261,-0.0025955964,0.000788891,-0.0019065742
46,2016-03-16,0.0030972208,0.0015242885,-5.32337e-05,-0.0002538195,-0.0067256122,-0.0006493021,0.0013901834,-0.0048913061,-0.0005595585,-0.0035594758
47,2016-03-17,-0.0066022418,-0.0025255944,0.0005946778,0.0014380362,0.0038151048,-0.0002202607,-0.0009603984,0.0022680353,0.0009528165,-0.0020274036
48,2016-03-18,-0.0079698953,-0.0015247786,0.000396061,0.0005965025,0.0005016903,-0.0004503153,-0.0013950762,0.0029913539,0.0005854829,-0.002028575
49,2016-03-21,-0.0073476075,0.0013890113,1.51474e-05,0.0007693844,0.0123606205,0.000370701,-0.0015173942,0.0008189788,0.0001245967,-0.0002488229
50,2016-03-22,-0.0004521332,-0.0014816446,0.0012035038,-0.0004577714,-0.0050422851,-8.46496e-05,0.0010097077,-0.0006287916,0.0003712913,-0.0014329454
51,2016-03-23,-0.002566895,-0.0022307221,0.0002499634,-0.0004200448,0.0006114074,0.0003530865,-0.0002676218,0.0011048372,0.0008876915,-0.0015433152
52,2016-03-24,0.0028231008,-0.0011267195,0.0016681282,0.0009305188,-0.0049171973,-0.0007413524,0.0026949021,0.0002198773,0.0006558498,-0.001275686
53,2016-03-25,0.0027667523,0.0012212627,-0.0010059209,0.0001143776,-0.0050814602,7.38686e-05,-0.0004899751,-5.0399e-05,-0.0006871303,-0.003553863
54,2016-03-28,0.0022753378,-0.0006049902,-0.0006292573,0.001138754,-0.0013287732,-0.0003858738,0.0003903704,-0.0003493785,-0.0004109906,-0.0012506701
55,2016-03-29,0.0036591805,0.0010942461,-0.0011872972,-2.49069e-05,-0.0016569043,-0.0001856154,0.0009911814,-0.0010256237,0.0003955935,0.0008575701
56,2016-03-30,-0.0044452177,-0.0019770937,0.0020144817,0.0002074402,0.0004055668,5.20153e-05,-0.0012241502,0.0007827116,0.0016525675,-0.0020981382
57,2016-03-31,-0.0007810908,0.0006485191,0.0012713129,-0.0007605873,0.0070052271,0.0002298099,0.001242235,-0.0011537034,0.0004982953,-0.0033263207
58,2016-04-01,0.002933823,0.002014786,0.0011845772,-0.0002532632,0.0040748545,-0.0002554242,0.0007293151,-0.0021332941,0.0006733949,-0.0026426481
59,2016-04-05,-0.0036055872,-0.0020336929,0.0006155615,0.0004178512,0.0019489327,-0.0002637009,-0.0022683455,0.0003510486,0.0008934705,-0.0030552599
60,2016-04-06,-0.0011113858,-0.0014144712,0.0019030717,0.0001551654,-0.000419914,6.34046e-05,-0.0004760553,0.000324934,0.000565726,-0.0027114432
61,2016-04-07,0.0016210612,-0.0006252059,0.0006926084,-3.28895e-05,0.0005129422,-0.0005227798,0.0008022375,-0.0005660255,-0.0004909631,-0.001696253
62,2016-04-08,0.0034766975,-0.0018288999,0.0010085662,-0.0005464914,0.0008833451,-0.0006980579,0.0005465105,-0.0011527336,0.0006918916,-0.0039058861
63,2016-04-11,-0.0002679128,-0.0003342639,0.0004864962,-0.0001239197,0.0052692751,-0.0005323762,-0.0013066585,0.0001340469,0.0006549173,-0.0035379437
64,2016-04-12,0.0030826342,0.0004564161,-0.000929178,0.0007810759,0.001723184,-0.0003872509,-0.0007841418,-0.0015271808,-0.000397065,-0.0026130148
65,2016-04-13,-0.0017333217,0.0016514049,-0.0002894803,-0.0005148923,0.0023716415,-0.0003207651,-0.0010159461,0.0004497846,0.0001857612,-0.0002741545
66,2016-04-14,-0.0011402077,-0.0009569614,0.0001943757,-0.0006063069,0.0055335703,-0.000571551,7.72617e-05,-0.001706932,-0.001185967,-0.0050551903
67,2016-04-15,0.000381991,-0.0009477601,1.90103e-05,0.0010532229,-0.00170515,0.0001218025,-0.0005061934,-0.002832438,0.0001244379,-0.0047599276
68,2016-04-18,0.0008962462,-0.0002952953,-2.9032e-05,0.0018323707,-0.0032952881,0.0002496991,0.0015163519,-0.0016957958,-0.0010128909,-0.0018014487
69,2016-04-19,0.0005662267,-0.0003370877,0.0004186401,-0.0006567914,0.0005379611,-0.0003872734,0.0002927735,-8.07198e-05,0.0003337161,-0.0022816997
70,2016-04-20,0.0097177276,0.0005298661,-0.0001943701,0.0004505141,0.002266502,-0.0003178863,0.0029771139,-0.0031591473,-0.000503154,0.0024957368
71,2016-04-21,0.004037626,0.0018787081,-0.0016510486,-0.0002776294,-0.0006568965,1.70178e-05,-0.0003916991,0.0004004584,-0.0016365113,-0.0003423528
72,2016-04-22,-0.0003551768,-0.0015857655,0.0021365384,-0.0006838665,0.0024295385,-0.0005389202,0.0012971292,-0.0001963349,-0.0001751495,-0.0033647294
73,2016-04-25,0.0022197993,0.0009823386,-0.0007839626,0.0001502875,-0.0001168439,-0.0006461383,0.001227776,-0.0005810924,-0.0012807954,-0.0018468433
74,2016-04-26,-0.0017588219,2.34911e-05,-4.08352e-05,0.0008547196,-0.0001281069,-0.0004613187,-0.0001556617,-0.00052668,-0.0010337428,-0.0031335706
75,2016-04-27,0.0010810836,-0.0017692266,0.0002711118,0.0009414456,-0.0006307632,-0.0005327711,0.0005286509,-0.0016459449,-0.0010074877,-0.0021677833
76,2016-04-28,-1.82886e-05,-0.0002381354,0.0001585518,0.000470092,8.35847e-05,-0.000412572,0.0004076335,-0.0012764708,0.0002633326,-0.0012031806
